prompt,answer,categories,other_answers
1927/28,Wings,1920s
1928/29,The Broadway Melody,1920s
1929/30,All Quiet on the Western Front,1920s
1930/31,Cimarron,1930s
1931/32,Grand Hotel,1930s
1932/33,Cavalcade,1930s
1934,It Happened One Night,1930s
1935,Mutiny on the Bounty,1930s
1936,The Great Ziegfeld,1930s
1937,The Life of Emile Zola,1930s
1938,You Can't Take It With You,1930s
1939,Gone with the Wind,1930s
1940,Rebecca,1940s
1941,How Green Was My Valley,1940s
1942,Mrs. Miniver,1940s
1943,Casablanca,1940s
1944,Going My Way,1940s
1945,The Lost Weekend,1940s
1946,The Best Years of Our Lives,1940s
1947,Gentleman's Agreement,1940s
1948,Hamlet,1940s
1949,All the King's Men,1940s
1950,All About Eve,1950s
1951,An American in Paris,1950s
1952,The Greatest Show on Earth,1950s
1953,From Here to Eternity,1950s
1954,On the Waterfront,1950s
1955,Marty,1950s
1956,Around the World in 80 Days,1950s
1957,The Bridge on the River Kwai,1950s
1958,Gigi,1950s
1959,Ben-Hur,1950s
1960,The Apartment,1960s
1961,West Side Story,1960s
1962,Lawrence of Arabia,1960s
1963,Tom Jones,1960s
1964,My Fair Lady,1960s
1965,The Sound of Music,1960s
1966,A Man for All Seasons,1960s
1967,In the Heat of the Night,1960s
1968,Oliver!,1960s
1969,Midnight Cowboy,1960s
1970,Patton,1970s
1971,The French Connection,1970s
1972,The Godfather,1970s
1973,The Sting,1970s
1974,The Godfather Part II,1970s
1975,One Flew Over the Cuckoo's Nest,1970s
1976,Rocky,1970s
1977,Annie Hall,1970s
1978,The Deer Hunter,1970s
1979,Kramer vs. Kramer,1970s
1980,Ordinary People,1980s
1981,Chariots of Fire,1980s
1982,Gandhi,1980s
1983,Terms of Endearment,1980s
1984,Amadeus,1980s
1985,Out of Africa,1980s
1986,Platoon,1980s
1987,The Last Emperor,1980s
1988,Rain Man,1980s
1989,Driving Miss Daisy,1980s
1990,Dances with Wolves,1990s
1991,The Silence of the Lambs,1990s
1992,Unforgiven,1990s
1993,Schindler's List,1990s
1994,Forrest Gump,1990s
1995,Braveheart,1990s
1996,The English Patient,1990s
1997,Titanic,1990s
1998,Shakespeare in Love,1990s
1999,American Beauty,1990s
2000,Gladiator,2000s
2001,A Beautiful Mind,2000s
2002,Chicago,2000s
2003,The Lord of the Rings: The Return of the King,2000s
2004,Million Dollar Baby,2000s
2005,Crash,2000s
2006,The Departed,2000s
2007,No Country for Old Men,2000s
2008,Slumdog Millionaire,2000s
2009,The Hurt Locker,2000s
2010,The King's Speech,2010s
2011,The Artist,2010s
2012,Argo,2010s
2013,12 Years a Slave,2010s
2014,Birdman or (The Unexpected Virtue of Ignorance),2010s,Birdman
2015,Spotlight,2010s
2016,Moonlight,2010s
2017,The Shape of Water,2010s
2018,Green Book,2010s
2019,Parasite,2010s
