prompt,answer,categories,other_answers
1896,Athens,Summer
1900,Paris,Summer
1904,St. Louis,Summer
1908,London,Summer
1912,Stockholm,Summer
1920,Antwerp,Summer
1924 (winter),Chamonix,Winter
1924 (summer),Paris,Summer
1928 (winter),St. Moritz,Winter
1928 (summer),Netherlands,Summer
1932 (winter),Lake Placid,Winter
1932 (summer),Los Angeles,Summer
1936 (winter),Garmisch-Partenkirchen,Winter
1936 (summer),Berlin,Summer
1948 (winter),St. Moritz,Winter
1948 (summer),London,Summer
1952 (winter),Oslo,Winter
1952 (summer),Helsinki,Summer
1956 (winter),Cortina d'Ampezzo,Winter
1956 (summer),Melbourne,Summer,Stockholm
1960 (winter),Squaw Valley,Winter
1960 (summer),Rome,Summer
1964 (winter),Innsbruck,Winter
1964 (summer),Tokyo,Summer
1968 (winter),Grenoble,Winter
1968 (summer),Mexico City,Summer
1972 (winter),Sapporo,Winter
1972 (summer),Munich,Summer
1976 (winter),Innsbruck,Winter
1976 (summer),Montreal,Summer
1980 (winter),Lake Placid,Winter
1980 (summer),Moscow,Summer
1984 (winter),Sarajevo,Winter
1984 (summer),Los Angeles,Summer
1988 (winter),Calgary,Winter
1988 (summer),Seoul,Summer
1992 (winter),Albertville,Winter
1992 (summer),Barcelona,Summer
1994,Lillehammer,Winter
1996,Atlanta,Summer
1998,Nagano,Winter
2000,Sydney,Summer
2002,Salt Lake City,Winter
2004,Athens,Summer
2006,Turin,Winter
2008,Beijing,Summer
2010,Vancouver,Winter
2012,London,Summer
2014,Sochi,Winter
2016,Rio de Janeiro,Summer
2018,Pyeongchang,Winter
2020,Tokyo,Summer
2022,Beijing,Winter
2024,Paris,Summer
2026,Milan,Winter,Cortina d'Ampezzo
2028,Los Angeles,Summer
