prompt,answer,categories,other_answers
Afghanistan,Kabul,Asia
Albania,Tirana,Europe
Algeria,Algiers,Africa
Andorra,Andorra la Vella,Europe
Angola,Luanda,Africa
Antigua and Barbuda,St. John's,North America
Argentina,Buenos Aires,South America
Armenia,Yerevan,Europe;Asia
Australia,Canberra,Oceania
Austria,Vienna,Europe
Azerbaijan,Baku,Europe;Asia
The Bahamas,Nassau,North America
Bahrain,Manama,Asia
Bangladesh,Dhaka,Asia
Barbados,Bridgetown,North America
Belarus,Minsk,Europe
Belgium,Brussels,Europe
Belize,Belmopan,North America
Benin,Porto-Novo,Africa,Cotonou
Bhutan,Thimphu,Asia
Bolivia,Sucre,South America,La Paz
Bosnia and Herzegovina,Sarajevo,Europe
Botswana,Gaborone,Africa
Brazil,Brasilia,South America
Brunei,Bandar Seri Begawan,Asia
Bulgaria,Sofia,Europe
Burkina Faso,Ouagadougou,Africa
Burundi,Gitega,Africa
Cambodia,Phnom Penh,Asia
Cameroon,Yaoundé,Africa,Yaounde
Canada,Ottawa,North America
Cape Verde,Praia,Africa
Central African Republic,Bangui,Africa
Chad,N'Djamena,Africa
Chile,Santiago,South America,Valparaiso,Valparaíso
China,Beijing,Asia
Colombia,Bogotá,South America,Bogota
Comoros,Moroni,Africa
Côte d'Ivoire,Yamoussoukro,Africa
Costa Rica,San José,North America,San Jose
Croatia,Zagreb,Europe
Cuba,Havana,North America
Cyprus,Nicosia,Europe;Asia
Czech Republic,Prague,Europe
Democratic Republic of the Congo,Kinshasa,Africa
Denmark,Copenhagen,Europe
Djibouti,Djibouti,Africa
Dominica,Roseau,North America
Dominican Republic,Santo Domingo,North America
East Timor/Timor-Leste,Dili,Asia
Ecuador,Quito,South America
Egypt,Cairo,Africa;Asia
El Salvador,San Salvador,North America
Equatorial Guinea,Malabo,Africa
Eritrea,Asmara,Africa
Estonia,Tallinn,Europe
Eswatini,Mbabane,Africa,Lobamba
Ethiopia,Addis Ababa,Africa
Federated States of Micronesia,Palikir,Oceania
Fiji,Suva,Oceania
Finland,Helsinki,Europe
France,Paris,Europe
Gabon,Libreville,Africa
The Gambia,Banjul,Africa
Georgia,Tbilisi,Europe;Asia,Kutaisi
Germany,Berlin,Europe
Ghana,Accra,Africa
Greece,Athens,Europe;Asia
Grenada,St. George's,North America
Guatemala,Guatemala City,North America
Guinea,Conakry,Africa
Guinea-Bissau,Bissau,Africa
Guyana,Georgetown,South America
Haiti,Port-au-Prince,North America
Honduras,Tegucigalpa,North America
Hungary,Budapest,Europe
Iceland,Reykjavík,Europe,Reykjavik
India,New Delhi,Asia
Indonesia,Jakarta,Asia
Iran,Tehran,Asia
Iraq,Baghdad,Asia
Ireland,Dublin,Europe
Israel,Jerusalem,Asia
Italy,Rome,Europe
Jamaica,Kingston,North America
Japan,Tokyo,Asia
Jordan,Amman,Asia
Kazakhstan,Nur-Sultan,Europe;Asia
Kenya,Nairobi,Africa
Kiribati,Tarawa,Oceania
Kosovo,Pristina,Europe
Kuwait,Kuwait City,Asia
Kyrgyzstan,Bishkek,Asia
Laos,Vientiane,Asia
Latvia,Riga,Europe
Lebanon,Beirut,Asia
Lesotho,Maseru,Africa
Liberia,Monrovia,Africa
Libya,Tripoli,Africa
Liechtenstein,Vaduz,Europe
Lithuania,Vilnius,Europe
Luxembourg,Luxembourg,Europe
Madagascar,Antananarivo,Africa
Malawi,Lilongwe,Africa
Malaysia,Kuala Lumpur,Asia,Putrajaya
Maldives,Malé,Asia,Male
Mali,Bemako,Africa
Malta,Valletta,Europe
Marshall Islands,Majuro,Oceania
Mauritania,Nouakchott,Africa
Mauritius,Port Louis,Africa
Mexico,Mexico City,North America
