prompt,answer,categories,other_answers
1789-1797,George Washington,1700s
1797-1801,John Adams,1700s;1800s
1801-1809,Thomas Jefferson,1800s
1809-1817,James Madison,1800s
1817-1825,James Monroe,1800s
1825-1829,John Quincy Adams,1800s
1829-1837,Andrew Jackson,1800s
1837-1841,Martin Van Buren,1800s
1841-1841,William Henry Harrison,1800s
1841-1845,John Tyler,1800s
1845-1849,James K. Polk,1800s,James Polk
1849-1850,Zachary Taylor,1800s
1850-1853,Millard Fillmore,1800s
1853-1857,Franklin Pierce,1800s
1857-1861,James Buchanan,1800s
1861-1865,Abraham Lincoln,1800s
1865-1869,Andrew Johnson,1800s
1869-1877,Ulysses S. Grant,1800s,Ulysses Grant
1877-1881,Rutherford B. Hayes,1800s,Rutherford Hayes
1881-1881,James A. Garfield,1800s,James Garfield
1881-1885,Chester A. Arthur,1800s,Chester Arthur
1885-1889,Grover Cleveland,1800s
1889-1893,Benjamin Harrison,1800s
1893-1897,Grover Cleveland,1800s
1897-1901,William McKinley,1800s;1900s
1901-1909,Theodore Roosevelt,1900s,Teddy Roosevelt
1909-1913,William Howard Taft,1900s,William Taft;William H. Taft
1913-1921,Woodrow Wilson,1900s
1921-1923,Warren G. Harding,1900s,Warren Harding
1923-1929,Calvin Coolidge,1900s
1929-1933,Herbert Hoover,1900s
1933-1945,Franklin D. Roosevelt,1900s,Franklin Roosevelt;Franklin Delano Roosevelt;FDR
1945-1953,Harry S Truman,1900s,Harry S. Truman;Harry Truman;HST
1953-1961,Dwight D.Eisenhower,1900s,Dwight Eisenhower;DDE
1961-1963,John F. Kennedy,1900s,John Kennedy;JFK
1963-1969,Lyndon B. Johnson,1900s,Lyndon Johnson;LBJ
1969-1974,Richard Nixon,1900s
1974-1977,Gerald Ford,1900s
1977-1981,Jimmy Carter,1900s
1981-1989,Ronald Reagan,1900s
1989-1993,George H. W. Bush,1900s,George H.W. Bush;George Herbert Walker Bush
1993-2001,Bill Clinton,1900s;2000s
2001-2009,George W. Bush,2000s
2009-2017,Barack Obama,2000s
2017-,Donald Trump,2000s,Donald J. Trump
